CustomerID,CustomerName,CustomerSegment,Country,Region,SignupDate
5001,Customer 5001,Retail,Germany,South,2021-10-15
5002,Customer 5002,Retail,Austria,North,2021-06-04
5003,Customer 5003,Workshop,Germany,North,2021-04-14
5004,Customer 5004,Fleet,Austria,South,2021-07-11
5005,Customer 5005,Retail,Germany,West,2023-04-13
5006,Customer 5006,Retail,Germany,West,2021-05-01
5007,Customer 5007,Fleet,Austria,East,2022-06-28
5008,Customer 5008,Workshop,Germany,West,2023-05-17
5009,Customer 5009,Retail,Germany,North,2021-11-14
5010,Customer 5010,Workshop,Germany,West,2021-05-05
5011,Customer 5011,Fleet,Germany,North,2023-10-27
5012,Customer 5012,Retail,Germany,North,2023-11-07
5013,Customer 5013,Retail,Switzerland,South,2022-04-27
5014,Customer 5014,Retail,Germany,East,2021-03-23
5015,Customer 5015,Retail,Germany,South,2022-06-19
5016,Customer 5016,Retail,Germany,East,2022-06-28
5017,Customer 5017,Retail,Austria,North,2023-07-26
5018,Customer 5018,Retail,Switzerland,North,2021-01-20
5019,Customer 5019,Retail,Germany,South,2021-05-31
5020,Customer 5020,Workshop,Austria,East,2022-12-16
5021,Customer 5021,Retail,Austria,East,2022-08-07
5022,Customer 5022,Retail,Austria,East,2023-12-20
5023,Customer 5023,Fleet,Germany,North,2021-08-01
5024,Customer 5024,Workshop,Germany,East,2021-08-08
5025,Customer 5025,Workshop,Germany,East,2022-03-08
5026,Customer 5026,Retail,Switzerland,North,2023-11-02
5027,Customer 5027,Retail,Austria,North,2021-07-09
5028,Customer 5028,Retail,Germany,East,2021-01-08
5029,Customer 5029,Workshop,Germany,West,2021-11-27
5030,Customer 5030,Retail,Switzerland,South,2021-01-20
5031,Customer 5031,Workshop,Germany,South,2021-03-15
5032,Customer 5032,Retail,Germany,North,2023-05-31
5033,Customer 5033,Retail,Germany,North,2023-01-03
5034,Customer 5034,Workshop,Austria,West,2022-12-26
5035,Customer 5035,Fleet,Germany,South,2021-11-13
5036,Customer 5036,Workshop,Germany,East,2021-12-29
5037,Customer 5037,Workshop,Austria,South,2023-04-24
5038,Customer 5038,Retail,Germany,West,2022-07-01
5039,Customer 5039,Workshop,Germany,West,2021-03-21
5040,Customer 5040,Retail,Austria,South,2022-12-18
5041,Customer 5041,Retail,Germany,East,2022-04-02
5042,Customer 5042,Workshop,Switzerland,East,2022-07-25
5043,Customer 5043,Retail,Germany,East,2022-12-21
5044,Customer 5044,Retail,Switzerland,South,2021-02-26
5045,Customer 5045,Retail,Germany,East,2022-06-28
5046,Customer 5046,Retail,Switzerland,North,2022-10-05
5047,Customer 5047,Workshop,Germany,North,2023-02-28
5048,Customer 5048,Retail,Switzerland,South,2023-06-13
5049,Customer 5049,Retail,Switzerland,East,2023-01-16
5050,Customer 5050,Workshop,Germany,East,2022-10-05
5051,Customer 5051,Retail,Germany,West,2023-11-05
5052,Customer 5052,Retail,Germany,West,2022-08-29
5053,Customer 5053,Retail,Germany,North,2021-12-23
5054,Customer 5054,Retail,Germany,East,2022-09-15
5055,Customer 5055,Retail,Germany,West,2023-08-11
5056,Customer 5056,Workshop,Germany,East,2021-12-14
5057,Customer 5057,Workshop,Austria,East,2021-07-11
5058,Customer 5058,Workshop,Germany,North,2022-04-06
5059,Customer 5059,Fleet,Germany,North,2022-05-17
5060,Customer 5060,Retail,Germany,South,2023-07-22
5061,Customer 5061,Retail,Germany,North,2023-02-26
5062,Customer 5062,Workshop,Germany,West,2021-08-07
5063,Customer 5063,Retail,Switzerland,North,2021-04-13
5064,Customer 5064,Retail,Germany,East,2023-07-24
5065,Customer 5065,Retail,Germany,West,2023-06-26
5066,Customer 5066,Workshop,Germany,West,2023-07-03
5067,Customer 5067,Retail,Germany,East,2023-07-11
5068,Customer 5068,Retail,Germany,West,2023-12-04
5069,Customer 5069,Workshop,Germany,East,2021-06-08
5070,Customer 5070,Workshop,Germany,South,2022-10-17
5071,Customer 5071,Retail,Germany,South,2022-04-19
5072,Customer 5072,Retail,Germany,West,2021-05-12
5073,Customer 5073,Retail,Austria,West,2023-05-02
5074,Customer 5074,Workshop,Austria,West,2021-02-10
5075,Customer 5075,Retail,Germany,West,2023-09-04
5076,Customer 5076,Retail,Germany,South,2023-05-09
5077,Customer 5077,Retail,Germany,North,2023-09-27
5078,Customer 5078,Retail,Germany,West,2023-03-08
5079,Customer 5079,Workshop,Switzerland,North,2021-12-05
5080,Customer 5080,Retail,Germany,North,2023-03-18
5081,Customer 5081,Retail,Germany,North,2023-05-28
5082,Customer 5082,Retail,Germany,East,2022-06-17
5083,Customer 5083,Workshop,Germany,West,2022-11-23
5084,Customer 5084,Workshop,Germany,North,2022-06-01
5085,Customer 5085,Retail,Germany,North,2022-12-18
5086,Customer 5086,Fleet,Germany,North,2021-03-05
5087,Customer 5087,Retail,Germany,North,2021-11-09
5088,Customer 5088,Retail,Germany,East,2022-03-23
5089,Customer 5089,Retail,Switzerland,North,2021-12-10
5090,Customer 5090,Fleet,Germany,North,2021-12-02
5091,Customer 5091,Retail,Switzerland,West,2022-10-01
5092,Customer 5092,Fleet,Germany,South,2023-03-24
5093,Customer 5093,Workshop,Germany,North,2021-07-28
5094,Customer 5094,Retail,Germany,East,2021-03-26
5095,Customer 5095,Retail,Germany,West,2021-05-22
5096,Customer 5096,Retail,Switzerland,West,2023-10-01
5097,Customer 5097,Retail,Germany,East,2021-11-10
5098,Customer 5098,Retail,Austria,East,2023-09-18
5099,Customer 5099,Workshop,Austria,North,2022-10-23
5100,Customer 5100,Workshop,Germany,West,2022-07-26
5101,Customer 5101,Retail,Germany,East,2023-02-16
5102,Customer 5102,Retail,Germany,East,2022-01-08
5103,Customer 5103,Retail,Germany,East,2022-11-29
5104,Customer 5104,Retail,Germany,South,2021-01-21
5105,Customer 5105,Retail,Austria,West,2023-04-13
5106,Customer 5106,Retail,Germany,East,2023-10-03
5107,Customer 5107,Retail,Germany,East,2022-03-30
5108,Customer 5108,Retail,Germany,East,2023-08-28
5109,Customer 5109,Workshop,Germany,East,2022-12-22
5110,Customer 5110,Retail,Germany,North,2022-04-18
5111,Customer 5111,Retail,Germany,East,2022-01-15
5112,Customer 5112,Retail,Switzerland,South,2023-12-11
5113,Customer 5113,Retail,Germany,North,2022-08-30
5114,Customer 5114,Retail,Germany,North,2023-12-30
5115,Customer 5115,Workshop,Germany,West,2022-08-22
5116,Customer 5116,Workshop,Germany,West,2021-07-30
5117,Customer 5117,Retail,Germany,North,2023-09-08
5118,Customer 5118,Fleet,Germany,North,2022-06-02
5119,Customer 5119,Retail,Germany,North,2023-04-01
5120,Customer 5120,Retail,Germany,East,2021-11-07
5121,Customer 5121,Fleet,Germany,West,2021-06-24
5122,Customer 5122,Workshop,Germany,West,2022-04-08
5123,Customer 5123,Workshop,Switzerland,East,2022-09-01
5124,Customer 5124,Retail,Germany,South,2021-05-04
5125,Customer 5125,Retail,Germany,South,2022-03-09
5126,Customer 5126,Retail,Germany,West,2021-12-22
5127,Customer 5127,Workshop,Germany,North,2023-07-12
5128,Customer 5128,Retail,Germany,West,2022-04-20
5129,Customer 5129,Workshop,Switzerland,South,2021-05-26
5130,Customer 5130,Retail,Germany,South,2023-05-21
5131,Customer 5131,Workshop,Germany,South,2022-06-29
5132,Customer 5132,Retail,Austria,East,2022-09-22
5133,Customer 5133,Retail,Germany,West,2023-06-19
5134,Customer 5134,Retail,Germany,North,2022-07-12
5135,Customer 5135,Workshop,Germany,East,2021-03-23
5136,Customer 5136,Retail,Switzerland,North,2021-02-22
5137,Customer 5137,Retail,Austria,South,2022-07-06
5138,Customer 5138,Retail,Germany,East,2023-08-22
5139,Customer 5139,Fleet,Germany,West,2022-01-07
5140,Customer 5140,Retail,Germany,East,2021-07-06
5141,Customer 5141,Workshop,Germany,West,2021-08-03
5142,Customer 5142,Workshop,Germany,North,2022-08-14
5143,Customer 5143,Retail,Germany,North,2023-07-21
5144,Customer 5144,Workshop,Austria,North,2023-04-08
5145,Customer 5145,Retail,Germany,East,2023-08-05
5146,Customer 5146,Retail,Austria,South,2023-10-18
5147,Customer 5147,Retail,Switzerland,West,2022-07-01
5148,Customer 5148,Retail,Switzerland,South,2023-09-20
5149,Customer 5149,Retail,Germany,West,2021-11-21
5150,Customer 5150,Retail,Austria,North,2021-07-10
5151,Customer 5151,Fleet,Germany,South,2023-08-04
5152,Customer 5152,Fleet,Germany,East,2023-10-18
5153,Customer 5153,Workshop,Switzerland,South,2023-05-01
5154,Customer 5154,Retail,Germany,South,2023-07-25
5155,Customer 5155,Retail,Austria,West,2021-05-23
5156,Customer 5156,Fleet,Germany,North,2022-11-28
5157,Customer 5157,Workshop,Austria,West,2022-08-03
5158,Customer 5158,Retail,Germany,East,2021-11-01
5159,Customer 5159,Retail,Germany,South,2023-02-12
5160,Customer 5160,Retail,Germany,West,2022-05-05
5161,Customer 5161,Retail,Germany,West,2021-03-31
5162,Customer 5162,Fleet,Austria,South,2023-03-02
5163,Customer 5163,Fleet,Germany,East,2023-10-12
5164,Customer 5164,Workshop,Germany,West,2021-07-25
5165,Customer 5165,Workshop,Germany,South,2021-02-01
5166,Customer 5166,Retail,Switzerland,East,2021-06-03
5167,Customer 5167,Retail,Austria,West,2023-03-26
5168,Customer 5168,Retail,Austria,West,2022-10-11
5169,Customer 5169,Retail,Germany,East,2021-03-15
