YearMonth,Region,RevenueTarget
2024-01,North,132377.73
2024-01,South,152149.62
2024-01,East,114529.82
2024-01,West,141030.29
2024-02,North,131086.66
2024-02,South,144400.67
2024-02,East,113566.97
2024-02,West,137107.31
2024-03,North,150064.26
2024-03,South,171652.68
2024-03,East,122242.98
2024-03,West,156553.0
2024-04,North,147876.9
2024-04,South,168833.12
2024-04,East,126821.08
2024-04,West,150819.75
2024-05,North,139968.07
2024-05,South,166661.91
2024-05,East,130749.73
2024-05,West,154203.44
2024-06,North,149858.33
2024-06,South,164168.23
2024-06,East,120125.26
2024-06,West,155735.73
2024-07,North,141025.92
2024-07,South,170574.84
2024-07,East,127198.45
2024-07,West,151191.52
2024-08,North,145811.89
2024-08,South,172684.27
2024-08,East,126115.83
2024-08,West,159657.72
2024-09,North,145994.56
2024-09,South,159618.74
2024-09,East,123888.83
2024-09,West,150209.66
2024-10,North,161637.74
2024-10,South,190844.73
2024-10,East,142751.52
2024-10,West,175382.44
2024-11,North,161888.09
2024-11,South,187547.3
2024-11,East,144048.89
2024-11,West,180656.93
2024-12,North,168579.82
2024-12,South,180645.49
2024-12,East,137550.02
2024-12,West,167054.72
2025-01,North,126724.98
2025-01,South,145853.62
2025-01,East,111079.48
2025-01,West,140438.76
2025-02,North,127486.16
2025-02,South,143141.84
2025-02,East,112339.16
2025-02,West,143797.99
2025-03,North,149228.25
2025-03,South,166034.21
2025-03,East,129705.3
2025-03,West,159142.83
2025-04,North,141533.13
2025-04,South,172632.92
2025-04,East,120192.27
2025-04,West,160872.61
2025-05,North,146375.66
2025-05,South,159148.13
2025-05,East,122723.33
2025-05,West,153610.01
2025-06,North,143008.23
2025-06,South,172720.22
2025-06,East,130139.2
2025-06,West,156168.66
2025-07,North,142922.27
2025-07,South,164537.89
2025-07,East,126657.79
2025-07,West,162274.48
2025-08,North,143673.97
2025-08,South,167864.79
2025-08,East,130011.88
2025-08,West,159117.26
2025-09,North,148477.46
2025-09,South,159447.33
2025-09,East,124198.05
2025-09,West,155806.24
2025-10,North,167930.08
2025-10,South,181657.99
2025-10,East,138829.26
2025-10,West,168705.6
2025-11,North,157330.39
2025-11,South,184841.28
2025-11,East,145822.31
2025-11,West,174524.72
2025-12,North,166874.13
2025-12,South,181730.2
2025-12,East,144781.06
2025-12,West,176377.22
