OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,DiscountPct,Region,DeliveryDays,OrderStatus
200001,2024-03-17,5139,1006,1,208.14,0.05,West,2,Completed
200002,2024-01-17,5436,1041,2,48.13,0.1,West,,Cancelled
200003,2024-11-02,5204,1010,1,88.34,0.1,East,6,Completed
200004,2024-05-23,5170,1050,3,79.45,0,North,3,Completed
200005,2024-08-25,5051,1056,2,352.16,0.1,West,3,Completed
200006,2024-01-31,5397,1042,4,16.16,0,East,4,Completed
200007,2024-07-09,5193,1056,3,337.83,0,West,5,Completed
200008,2024-03-25,5366,1010,2,85.65,0.1,East,3,Completed
200009,2024-04-03,5185,1014,1,33.64,0,East,2,Completed
200010,2025-04-04,5096,1056,2,315.29,0,West,4,Completed
200011,2025-01-29,5306,1042,2,17.23,0.1,North,4,Completed
200012,2024-06-22,5125,1067,1,217.35,0,South,2,Completed
200013,2024-10-09,5086,1056,2,322.19,0,North,3,Completed
200014,2025-08-31,5321,1064,2,92.4,0,South,3,Completed
200015,2024-12-03,5431,1049,2,24.58,0.1,West,4,Completed
200016,2025-09-09,5154,1042,1,17.74,0,South,,Cancelled
200017,2024-10-25,5496,1041,3,48.54,0.2,West,3,Completed
200018,2025-01-08,5144,1051,2,247.47,0.05,North,4,Completed
200019,2025-04-17,5282,1004,1,159.44,0.1,East,,Cancelled
200020,2025-11-20,5036,1053,3,210.2,0,East,4,Completed
200021,2024-03-16,5405,1049,3,24.22,0.05,West,6,Completed
200022,2025-07-10,5446,1054,8,267.31,0.1,South,4,Completed
200023,2024-04-21,5469,1011,3,35.36,0,South,1,Completed
200024,2024-12-05,5331,1052,2,311.18,0,East,,Cancelled
200025,2025-07-25,5262,1067,2,220.87,0,South,5,Completed
200026,2024-06-03,5302,1065,1,64.81,0,West,7,Completed
200027,2024-12-22,5060,1019,2,105.06,0,South,3,Completed
200028,2024-11-22,5225,1058,1,194.09,0.1,North,3,Completed
200029,2024-09-06,5056,1022,2,37.88,0,East,3,Completed
200030,2025-10-06,5409,1052,3,301.74,0,West,4,Completed
200031,2025-08-29,5102,1058,1,200.87,0,East,4,Completed
200032,2025-08-14,5408,1009,5,206.19,0,South,3,Completed
200033,2025-06-24,5135,1063,1,219.48,0,East,,Cancelled
200034,2024-12-26,5059,1045,3,115.03,0.1,North,3,Completed
200035,2025-11-19,5315,1011,1,33.29,0,West,4,Completed
200036,2025-03-04,5262,1050,2,76.9,0,South,4,Completed
200037,2025-07-22,5471,1023,1,209.29,0,North,4,Completed
200038,2024-01-10,5444,1046,1,71.21,0,South,4,Completed
200039,2025-03-01,5210,1063,2,224.4,0,South,5,Completed
200040,2024-02-03,5113,1038,2,212.57,0,North,5,Completed
200041,2025-07-16,5393,1064,2,99.17,0,South,8,Completed
200042,2025-03-27,5278,1006,10,212.63,0,West,5,Completed
200043,2025-04-05,5153,1005,5,85.01,0,South,2,Completed
200044,2024-08-02,5416,1031,2,252.77,0,East,4,Completed
200045,2024-07-30,5085,1018,4,323.0,0.05,North,4,Completed
200046,2025-12-21,5087,1042,2,16.78,0.2,North,6,Completed
200047,2024-05-18,5418,1013,4,136.14,0.15,West,,Cancelled
200048,2025-12-19,5444,1017,1,78.96,0.1,South,5,Completed
200049,2025-05-16,5347,1051,3,242.1,0.05,South,2,Completed
200050,2025-02-16,5407,1012,1,222.75,0.15,South,7,Completed
200051,2024-04-05,5168,1001,2,161.08,0.05,West,1,Completed
200052,2024-08-11,5274,1051,4,240.45,0,South,,Cancelled
200053,2025-07-14,5146,1044,2,136.07,0,South,4,Completed
200054,2024-04-11,5025,1006,4,215.23,0,East,2,Completed
200055,2025-03-14,5234,1001,3,167.21,0,West,2,Completed
200056,2024-04-05,5478,1036,1,259.87,0,West,2,Completed
200057,2025-12-17,5203,1040,2,259.34,0,West,2,Completed
200058,2025-08-30,5040,1017,3,77.67,0,South,5,Completed
200059,2025-12-11,5441,1055,1,278.9,0,South,2,Completed
200060,2024-11-02,5161,1048,4,293.68,0.1,West,8,Completed
200061,2025-06-27,5074,1009,3,206.87,0,West,2,Completed
200062,2025-02-25,5384,1020,2,62.71,0,East,2,Completed
200063,2024-12-25,5064,1050,1,74.83,0,East,,Cancelled
200064,2025-07-20,5044,1032,3,240.76,0,South,1,Completed
200065,2024-07-29,5434,1039,2,178.13,0.1,North,1,Completed
200066,2025-05-21,5460,1031,1,232.6,0.05,East,6,Completed
200067,2024-11-20,5007,1047,5,198.31,0.05,East,4,Completed
200068,2024-03-15,5391,1061,1,141.42,0,West,1,Completed
200069,2025-06-02,5405,1051,3,243.63,0.1,West,3,Completed
200070,2025-07-04,5328,1069,1,173.57,0,South,2,Completed
200071,2025-07-03,5414,1020,2,60.83,0.1,North,4,Completed
200072,2024-09-01,5159,1056,1,330.79,0,South,4,Completed
200073,2024-05-02,5159,1023,1,200.41,0,South,3,Completed
200074,2024-06-19,5265,1034,3,142.23,0.15,South,2,Completed
200075,2024-12-09,5461,1004,1,157.11,0,West,4,Completed
200076,2025-04-11,5040,1064,1,94.42,0.15,South,2,Completed
200077,2025-08-10,5396,1014,1,32.45,0.1,South,5,Completed
200078,2024-02-17,5007,1032,2,240.46,0,East,5,Completed
200079,2024-08-17,5284,1054,2,249.5,0.1,East,2,Completed
200080,2025-05-29,5191,1016,1,58.71,0,East,1,Completed
200081,2025-04-21,5206,1009,4,199.71,0,East,3,Completed
200082,2024-10-25,5189,1026,1,65.88,0.05,East,4,Completed
200083,2025-07-13,5253,1026,1,65.43,0,East,2,Completed
200084,2024-12-09,5178,1002,3,76.52,0.1,East,2,Completed
200085,2025-03-05,5272,1031,1,252.8,0.2,North,2,Completed
200086,2025-06-16,5472,1030,5,142.17,0,South,4,Completed
200087,2025-10-14,5259,1018,1,319.0,0.05,North,7,Completed
200088,2024-09-24,5122,1038,6,222.82,0,West,3,Completed
200089,2024-08-27,5232,1035,1,235.82,0.1,West,2,Completed
200090,2025-04-22,5085,1058,1,213.89,0,North,3,Completed
200091,2024-05-02,5238,1034,4,141.73,0,East,4,Completed
200092,2024-05-31,5111,1042,1,16.78,0,East,4,Completed
200093,2024-02-01,5134,1023,5,201.79,0.05,North,,Cancelled
200094,2024-04-14,5049,1060,1,127.42,0,East,8,Completed
200095,2025-02-14,5067,1026,3,66.89,0.05,East,3,Completed
200096,2024-01-23,5417,1010,1,93.16,0.05,North,,Cancelled
200097,2024-05-05,5048,1043,2,95.6,0,South,5,Completed
200098,2024-01-31,5203,1064,2,103.79,0,West,3,Completed
200099,2024-02-05,5229,1020,3,59.67,0.05,North,6,Completed
200100,2024-03-30,5246,1008,1,121.67,0,West,4,Completed
200101,2024-01-20,5323,1070,4,229.43,0,South,,Cancelled
200102,2025-08-02,5249,1045,2,109.48,0,North,2,Completed
200103,2024-02-29,5459,1036,2,249.75,0,South,2,Completed
200104,2024-09-10,5082,1013,1,134.91,0.1,East,1,Completed
200105,2025-08-12,5486,1029,4,204.58,0,West,5,Completed
200106,2025-08-29,5091,1031,3,249.01,0,West,4,Completed
200107,2025-07-30,5181,1019,4,111.63,0.1,East,,Cancelled
200108,2024-06-28,5278,1040,1,263.67,0,West,4,Completed
200109,2025-09-20,5001,1043,1,99.78,0.1,South,5,Completed
200110,2024-01-23,5166,1008,3,110.18,0,East,4,Completed
200111,2025-01-17,5187,1010,3,87.74,0.05,East,3,Completed
200112,2025-03-23,5500,1021,8,110.1,0.05,West,7,Completed
200113,2024-08-16,5356,1046,4,72.77,0,East,3,Completed
200114,2025-12-19,5091,1001,2,173.83,0.2,West,,Cancelled
200115,2025-09-08,5017,1024,4,117.55,0.05,North,2,Completed
200116,2024-12-05,5255,1019,1,100.81,0.2,East,6,Completed
200117,2025-04-02,5046,1043,1,92.89,0.05,North,5,Completed
200118,2024-02-19,5369,1001,3,172.13,0.2,West,3,Completed
200119,2025-07-13,5194,1045,4,113.2,0.1,East,5,Completed
200120,2025-04-07,5116,1021,5,112.23,0,West,7,Completed
200121,2024-06-23,5038,1044,1,146.71,0,West,8,Returned
200122,2025-12-22,5174,1062,8,190.42,0,West,2,Completed
200123,2024-07-29,5052,1043,2,99.86,0.05,West,,Cancelled
200124,2025-11-07,5277,1034,1,139.38,0,East,5,Completed
200125,2025-01-04,5079,1007,1,160.13,0.1,North,3,Completed
200126,2024-07-30,5050,1004,1,159.68,0,East,3,Completed
200127,2025-05-15,5204,1061,1,148.12,0.05,East,3,Returned
200128,2024-07-10,5196,1048,1,297.35,0,North,3,Completed
200129,2025-12-14,5032,1020,1,60.0,0,North,8,Completed
200130,2025-07-20,5302,1030,2,146.01,0.05,West,4,Completed
200131,2025-08-09,5480,1061,2,158.03,0,East,4,Returned
200132,2025-08-08,5258,1067,3,231.37,0,East,2,Completed
200133,2024-07-16,5086,1028,2,255.94,0.2,North,8,Completed
200134,2025-09-01,5322,1019,6,99.45,0.15,West,3,Completed
200135,2024-11-29,5204,1071,2,119.2,0.15,East,4,Completed
200136,2025-03-05,5301,1067,1,226.36,0.05,West,7,Completed
200137,2025-07-30,5052,1014,4,36.35,0.15,West,6,Completed
200138,2025-11-01,5136,1050,3,74.81,0,North,2,Completed
200139,2024-02-09,5312,1052,5,302.57,0.05,West,3,Completed
200140,2024-01-21,5138,1048,4,321.69,0,East,5,Completed
200141,2024-08-21,5351,1013,10,133.41,0,North,3,Completed
200142,2024-07-11,5214,1012,6,226.1,0,South,4,Completed
200143,2025-06-11,5192,1008,1,114.52,0.1,North,5,Completed
200144,2024-06-26,5269,1004,4,148.04,0.1,North,3,Completed
200145,2025-12-22,5471,1047,2,199.13,0,North,6,Completed
200146,2024-09-04,5349,1004,3,160.21,0,South,4,Completed
200147,2024-06-16,5180,1045,1,106.2,0.1,North,1,Completed
200148,2025-08-08,5026,1021,1,110.85,0,North,2,Completed
200149,2025-06-09,5334,1053,4,193.06,0.1,West,6,Completed
200150,2025-09-07,5332,1023,1,211.88,0.05,North,4,Completed
200151,2025-03-09,5364,1036,5,238.17,0,West,3,Returned
200152,2025-08-21,5267,1051,2,256.85,0.05,North,3,Completed
200153,2024-11-01,5332,1037,2,133.61,0,North,3,Completed
200154,2025-11-02,5142,1034,5,131.92,0,North,5,Completed
200155,2025-09-06,5461,1008,1,108.91,0,West,3,Completed
200156,2025-03-04,5152,1034,3,146.86,0.05,East,5,Completed
200157,2025-12-03,5176,1029,4,200.37,0.15,North,3,Completed
200158,2025-11-04,5433,1022,1,36.42,0,North,3,Completed
200159,2024-07-06,5414,1072,5,74.66,0.05,North,,Cancelled
200160,2025-03-06,5115,1040,1,266.31,0,West,5,Completed
200161,2025-10-11,5241,1007,8,165.47,0,West,3,Completed
200162,2025-06-26,5445,1049,1,23.0,0.15,West,2,Completed
200163,2024-05-26,5210,1059,3,134.41,0.1,South,4,Completed
200164,2025-10-11,5091,1041,2,48.49,0,West,4,Completed
200165,2024-03-31,5082,1063,2,220.52,0,East,3,Completed
200166,2025-06-30,5003,1005,2,79.36,0,North,5,Completed
200167,2025-11-23,5098,1003,3,273.14,0,East,3,Completed
200168,2025-05-30,5053,1050,1,75.04,0.1,North,3,Completed
200169,2025-09-02,5373,1067,2,213.48,0.05,West,8,Completed
200170,2024-07-11,5251,1046,6,66.3,0.1,East,2,Completed
200171,2024-01-23,5068,1028,1,263.05,0,West,1,Completed
200172,2025-07-01,5449,1033,3,145.49,0,West,5,Completed
200173,2025-03-02,5025,1015,1,242.9,0,East,2,Completed
200174,2024-11-04,5352,1002,1,75.53,0.05,West,4,Completed
200175,2025-06-07,5215,1014,1,32.91,0,South,2,Completed
200176,2025-06-19,5103,1034,2,132.1,0,East,,Cancelled
200177,2024-07-31,5281,1064,2,92.47,0,West,2,Completed
200178,2024-06-01,5057,1064,4,101.45,0,East,,Cancelled
200179,2025-10-21,5464,1033,10,152.47,0,West,2,Completed
200180,2024-10-24,5090,1006,3,193.97,0,North,5,Completed
200181,2024-01-10,5456,1006,3,200.28,0,South,3,Completed
200182,2024-04-05,5319,1035,2,230.31,0,West,3,Completed
200183,2025-12-07,5428,1050,4,79.96,0.05,East,2,Completed
200184,2024-06-12,5357,1008,6,116.98,0,East,3,Completed
200185,2025-01-02,5313,1049,5,24.82,0.15,East,6,Completed
200186,2024-04-25,5248,1063,2,226.96,0,South,1,Returned
200187,2025-08-13,5445,1068,1,210.81,0.2,West,4,Completed
200188,2025-03-19,5353,1013,1,130.95,0,South,3,Completed
200189,2025-09-19,5430,1072,3,80.87,0,South,5,Completed
200190,2024-03-17,5446,1022,1,37.16,0,South,3,Completed
200191,2025-02-16,5282,1049,1,24.34,0,East,2,Completed
200192,2024-11-19,5256,1058,2,196.21,0.05,East,3,Completed
200193,2024-01-01,5286,1071,4,129.38,0.2,South,6,Completed
200194,2025-11-01,5288,1027,8,103.39,0,North,2,Completed
200195,2025-07-27,5233,1043,3,93.04,0.1,East,3,Completed
200196,2024-01-03,5050,1029,4,190.83,0.2,East,4,Completed
200197,2024-02-16,5360,1014,2,35.74,0.1,East,3,Returned
200198,2024-07-11,5131,1026,5,68.94,0,South,2,Completed
200199,2025-02-28,5174,1014,3,32.99,0.05,West,6,Completed
200200,2024-05-17,5235,1065,1,65.96,0.1,East,,Cancelled
200201,2025-06-04,5222,1062,6,173.79,0.05,South,5,Completed
200202,2025-11-04,5054,1050,5,75.89,0.05,East,8,Completed
200203,2024-10-07,5469,1032,2,236.77,0,South,2,Completed
200204,2024-11-02,5309,1066,2,172.99,0,West,4,Completed
200205,2024-08-02,5112,1026,1,67.65,0,South,8,Completed
200206,2025-05-30,5333,1023,3,207.2,0.1,South,4,Completed
200207,2025-11-21,5299,1054,5,268.46,0,West,5,Completed
200208,2024-01-26,5268,1014,1,33.63,0,East,5,Completed
200209,2024-05-29,5147,1033,3,158.15,0,West,1,Completed
200210,2024-04-14,5417,1058,3,199.44,0.05,North,4,Completed
200211,2025-06-07,5200,1031,4,251.31,0,North,6,Completed
200212,2025-12-02,5199,1054,2,248.84,0,North,4,Completed
200213,2024-08-18,5400,1057,3,71.41,0.05,West,4,Returned
200214,2024-07-17,5309,1026,1,63.53,0.05,West,2,Completed
200215,2025-01-21,5264,1016,1,56.05,0,West,5,Completed
200216,2025-04-22,5003,1043,1,92.55,0,North,1,Completed
200217,2025-05-17,5478,1039,2,187.79,0,West,4,Completed
200218,2025-06-17,5490,1024,2,116.03,0,West,2,Completed
